"馬番","単勝","複勝下限","複勝上限"
"01","105","91.2","2"
"02","403","8.1","5"
"03","6307","50.4","51.1"
"04","307.1","0.7","8.5"
"05","802.5","70.9","9"
"06","1310","13","6.1"
"07","4902.1","20.1","82"
"08","66","31.4","0.3"
"09","66","31.4","0.3"
"10","66","31.4","0.3"
"11","66","31.4","0.3"
"12","66","31.4","0.3"
"13","66","31.4","0.3"
"14","66","31.4","0.3"
"15","66","31.4","0.3"
"16","66","31.4","0.3"
"17","100.9","70.1","56.1"
"18","45","7.1","8"
"19","1300.1","90.2","4"
"20","56","50.5","0.8"
"21","3311","60","56"
"22","907","16.3","2.6"
"23","800.7","90.1","26.1"
"24","130","21","13.1"
"25","4400.6","90.7","11"
"26","20","31.2","0.4"
"27","6506.1","30","17"
"28","414","1.3","0.1"
"29","414","1.3","0.1"
"30","414","1.3","0.1"
"31","414","1.3","0.1"
"32","414","1.3","0.1"
"33","414","1.3","0.1"
"34","414","1.3","0.1"
"35","414","1.3","0.1"
"36","414","1.3","0.1"
"37","414","1.3","0.1"
"38","414","1.3","0.1"
"39","414","1.3","0.1"
"40","414","1.3","0.1"
"41","414","1.3","1.2"
"42","2630.1","30","89.6"
"43","4013.5","43.1","15"
"44","2321.6","1","70.2"
"45","100.5","25.1","80"
"46","1.4","25.1","80"
"47","448.1","42.4","1"
"48","5250.1","20.6","28.2"
"49","8092.1","27","4.1"
"50","2800.2","26","83.3"
