"馬番","単勝","複勝下限","複勝上限","人気"
"2","3.3","1.2","1.4","01"
"12","5.8","4.3","6.8","02"
"17","6.2","2.5","3.8","03"
"4","6.7","2.5","3.8","04"
"14","12.7","3","4.5","05"
"6","15.5","2.4","3.6","06"
"8","16.7","2.2","3.3","07"
"7","18.5","4.6","7.2","08"
"16","18.8","3.5","5.5","09"
"1","23.6","7","11.1","10"
"11","28","4.5","7.1","11"
"10","30","5.7","9.1","12"
"18","75.4","14.3","23.1","13"
"13","96","9.4","15.1","14"
"3","105.6","18.4","29.8","15"
"15","114.8","8.5","13.6","16"
"5","240","27.1","44","17"
"9","293.4","38.9","63.1","18"
